StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,info_teilnahme_2,info_dataprotection,info_consent,CTSQ_AOT_1,CTSQ_AOT_2,CTSQ_AOT_3,CTSQ_AOT_4,CTSQ_AOT_5,CTSQ_AOT_6,CTSQ_CMT_7,CTSQ_CMT_8,CTSQ_CMT_9,CTSQ_CMT_10,CTSQ_CMT_11,CTSQ_CMT_12,CTSQ_PIT_13,CTSQ_PIT_14,CTSQ_PIT_15,CTSQ_PIT_16,CTSQ_PIT_17,CTSQ_PIT_18,CTSQ_PET_19,CTSQ_PET_20,CTSQ_PET_21,CTSQ_PET_22,CTSQ_PET_23,CTSQ_PET_24,CTSQ_attention,CRT_1_timing_First_Click,CRT_1_timing_Last_Click,CRT_1_timing_Page_Submit,CRT_1_timing_Click_Count,CRT_1_1,CRT_2_timing_First_Click,CRT_2_timing_Last_Click,CRT_2_timing_Page_Submit,CRT_2_timing_Click_Count,CRT_2_1,CRT_3_timing_First_Click,CRT_3_timing_Last_Click,CRT_3_timing_Page_Submit,CRT_3_timing_Click_Count,CRT_3_4,CRT_4_timing_First_Click,CRT_4_timing_Last_Click,CRT_4_timing_Page_Submit,CRT_4_timing_Click_Count,CRT_4_4,CRT_5_timing_First_Click,CRT_5_timing_Last_Click,CRT_5_timing_Page_Submit,CRT_5_timing_Click_Count,CRT_5_4,CRT_6_timing_First_Click,CRT_6_timing_Last_Click,CRT_6_timing_Page_Submit,CRT_6_timing_Click_Count,CRT_6_4,CRT_7_timing_First_Click,CRT_7_timing_Last_Click,CRT_7_timing_Page_Submit,CRT_7_timing_Click_Count,CRT_7,CRT_8_timing_First_Click,CRT_8_timing_Last_Click,CRT_8_timing_Page_Submit,CRT_8_timing_Click_Count,CRT_8_4,CRT_gesehen_1,CRT_gesehen_2,CRT_gesehen_3,CRT_gesehen_4,CRT_gesehen_5,CRT_gesehen_6,CRT_gesehen_7,CRT_gesehen_8,CRT_hilfsmittel_1,CRT_hilfsmittel_2,CRT_hilfsmittel_3,CRT_hilfsmittel_4,CRT_hilfsmittel_4_TEXT,HB_1,HB_1_timing_First_Click,HB_1_timing_Last_Click,HB_1_timing_Page_Submit,HB_1_timing_Click_Count,HB_2,HB_2_timing_First_Click,HB_2_timing_Last_Click,HB_2_timing_Page_Submit,HB_2_timing_Click_Count,HB_3,HB_3_timing_First_Click,HB_3_timing_Last_Click,HB_3_timing_Page_Submit,HB_3_timing_Click_Count,HB_4,HB_4_timing_First_Click,HB_4_timing_Last_Click,HB_4_timing_Page_Submit,HB_4_timing_Click_Count,HB_5,HB_5_timing_First_Click,HB_5_timing_Last_Click,HB_5_timing_Page_Submit,HB_5_timing_Click_Count,HB_6,HB_6_timing_First_Click,HB_6_timing_Last_Click,HB_6_timing_Page_Submit,HB_6_timing_Click_Count,HB_7,HB_7_timing_First_Click,HB_7_timing_Last_Click,HB_7_timing_Page_Submit,HB_7_timing_Click_Count,HB_8,HB_8_timing_First_Click,HB_8_timing_Last_Click,HB_8_timing_Page_Submit,HB_8_timing_Click_Count,HB_9,HB_9_timing_First_Click,HB_9_timing_Last_Click,HB_9_timing_Page_Submit,HB_9_timing_Click_Count,HB_10,HB_10_timing_First_Click,HB_10_timing_Last_Click,HB_10_timing_Page_Submit,HB_10_timing_Click_Count,HB_11,HB_11_timing_First_Click,HB_11_timing_Last_Click,HB_11_timing_Page_Submit,HB_11_timing_Click_Count,HB_12,HB_12_timing_First_Click,HB_12_timing_Last_Click,HB_12_timing_Page_Submit,HB_12_timing_Click_Count,HB_14,HB_14_timing_First_Click,HB_14_timing_Last_Click,HB_14_timing_Page_Submit,HB_14_timing_Click_Count,HB_13,HB_13_timing_First_Click,HB_13_timing_Last_Click,HB_13_timing_Page_Submit,HB_13_timing_Click_Count,HB_hilfsmittel_1,HB_hilfsmittel_2,HB_hilfsmittel_3,HB_hilfsmittel_4,HB_hilfsmittel_4_TEXT,pol_scalo_spd,pol_scalo_cdu,pol_scalo_greens,pol_scalo_liberals,pol_scalo_afd,pol_scalo_left,pol_vote,pol_party,pol_party_12_TEXT,pol_leftright,demo_gender,demo_age,demo_edu,demo_edu_5_TEXT,demo_profession,demo_income,demo_hhmembers,Kommentarfeld,respondiID,quality,workflow,Q_surveyVersionID
2025-12-11T10:44:31Z,2025-12-11T10:45:36Z,0,100,65,1,2025-12-11T10:45:37Z,R_8hMYoV5TXi3Jzyr,anonymous,DE,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327172145304700,0,no_consent,
2025-12-11T10:42:55Z,2025-12-11T10:52:43Z,0,100,588,1,2025-12-11T10:52:44Z,R_2Srax44mtFQMyhB,anonymous,DE,1,,,1,4,5,3,4,4,3,3,3,5,3,3,3,4,4,4,4,3,4,4,6,4,5,3,4,3,4.989,4.989,10.014,1,8,9.843,9.843,19.291,1,50,12.824,12.824,15.101,1,5,6.736,6.736,8.229,1,2,3.862,3.862,5.992,1,8,2.494,2.494,8.22,1,Emily,1.767,1.767,7.245,1,0,2.886,2.886,16.181,1,Streichholz,2,2,2,1,1,1,2,1,1,,,,,0,1.169,26.162,27.392,7,2,8.931,8.931,9.253,1,1,13.413,13.413,14.09,1,0,20.828,20.828,21.123,1,4,26.228,26.228,26.501,1,1,7.001,7.001,9.343,1,1,6.592,6.592,7.879,1,3,1.967,34.7,35.293,6,2,14.806,14.806,15.129,1,2,19.553,19.553,21.477,1,1,43.303,43.303,43.601,1,1,43.412,45.618,46.349,3,3,13.281,24.34,24.945,7,3,7.448,9.635,10.122,4,1,,,,,-2,1,1,2,-3,-3,1,5,,6,1,34,3,,4,5,1,,327172145047583,1,completed,
2025-12-11T10:44:40Z,2025-12-11T10:56:28Z,0,100,707,1,2025-12-11T10:56:28Z,R_27U7wp8JpbYN7k5,anonymous,DE,0.20000000298023224,,,1,2,2,3,2,4,3,4,3,4,5,5,3,5,5,5,5,4,5,6,6,6,6,6,6,3,10.926,12.933,14.842,2,8,7.572,10.327,11.058,2,10,9.996,9.996,12.301,1,20,4.957,6.9,7.701,2,1,7.326,9.068,9.6,2,8,6.98,11.355,11.769,2,Emily,11.5,11.5,13.684,1,27,15.9,21.76,22.635,2,Streichholz,1,1,1,1,1,1,1,1,1,,,,,0,129.07,165.059,165.897,9,2,7.33,8.022,8.752,2,1,15.394,15.394,16.139,1,2,10.585,10.585,11.162,1,3,6.974,8.293,9,3,1,7.295,7.295,8.08,1,1,5.631,5.631,10.254,1,2,4.653,22.454,23.275,6,2,16.598,16.598,17.101,1,3,18.218,18.782,19.427,2,2,3.267,18.728,19.393,3,4,9.215,10.531,11.671,4,3,2.826,7.935,8.534,3,3,5.346,7.78,8.655,4,1,,,,,0,1,0,2,1,2,1,5,,6,2,38,2,,4,3,1,,327172145573104,1,completed,
2025-12-11T10:43:14Z,2025-12-11T11:00:24Z,0,100,1030,1,2025-12-11T11:00:25Z,R_2P7XV3LCZz0l1Jm,anonymous,DE,1,1,,1,4,4,5,4,4,3,3,5,2,4,3,1,3,4,3,4,3,3,4,5,4,5,5,4,3,6.578,9.249,9.953,2,8,12.891000000000002,15.574000000000002,16.552,2,10,10.801,10.801,14.601,1,39,8.501,10.705,11.358,2,1,5.101,8.248,10.976,2,8,8.305,25.032,25.656,3,Emily,10.587,14.802,15.77,2,3,20.485,34.801,35.58,2,Streichholz,2,2,2,2,2,2,2,2,1,,,,,2,5.762,56.187,56.8,6,2,14.093,14.093,14.849,1,1,24.726,24.726,25.79,1,2,19.03,19.03,20.101,1,3,34.6,35.976,36.607,2,1,26.601,26.601,27.402,1,1,6.202,6.202,7.374,1,3,14.065,67.062,71.491,13,2,28.404,28.404,29.195,1,3,34.101,34.101,35.057,1,1,41.087,47.965,48.659,3,6,15.718,20.265,22.069,4,1,5.052,24.95,25.812,9,1,4.265,15.256,15.901,6,1,,,,,-1,-1,-3,-3,1,0,2,,,5,1,50,2,,5,4,2,,327172145285237,1,completed,
2025-12-11T10:43:31Z,2025-12-11T11:01:56Z,0,100,1105,1,2025-12-11T11:01:57Z,R_20T9N4cyKTeiiH1,anonymous,DE,0.8999999761581421,1,,1,5,4,4,4,5,5,3,4,4,6,5,5,4,4,4,4,4,4,3,4,4,3,4,3,3,8.496,8.496,14.341,1,8,20.273,20.273,26.079,1,50,25.456,25.456,31.024,1,39,7.506,7.506,13.048,1,1,7.938,7.938,12.776,1,7,10.198,10.198,18.457,1,Juni,6.859,6.859,12.902,1,9,11.645,11.645,29.062,1,Sreichholz,2,2,2,2,2,2,2,2,1,,,,,2,32.602,42.641,46.707,2,2,16.18,16.18,17.583,1,0,42.403,42.403,43.868,1,2,18.63,18.63,20.186,1,4,48.646,48.646,51.89,1,1,17.607,17.607,19.078,1,1,10.331,10.331,11.517,1,2,63.17,63.17,64.846,1,2,25.026,25.026,26.824,1,1,26.955,26.955,30.379,1,2,29.422,29.422,31.712,1,6,19.586,19.586,21.601,1,1,39.861,39.861,42.918,1,1,17.186,17.186,19.824,1,1,,,,,-3,3,-3,0,-3,-3,1,1,,7,1,73,5,Hauptschule,4,8,2,nein,327172145150015,1,completed,
2025-12-11T10:55:38Z,2025-12-11T11:09:20Z,0,100,822,1,2025-12-11T11:09:21Z,R_2t0f8tDDD7dsxkV,anonymous,DE,1,,,1,4,4,4,4,6,4,2,3,2,1,5,4,4,4,4,4,4,4,6,5,5,4,5,4,3,6.755,12.48,15.34,2,8,60.366,62.766,63.87,2,10,12.084,12.084,15.264,1,39,9.788,12.837,13.457,2,1,4.931,6.93,7.684,2,8,6.992,11.726,12.5,2,Emily,4.868,7.461,8,2,9,21.792,27.486,28.039,2,Streichholz,1,1,1,1,1,1,1,1,1,,,,,2,1.468,32.417,33.668,6,2,14.192,14.952,17.101,2,0,19.009,22.368,23.369,2,2,16.38,16.38,17.269,1,4,10.096,36.762,37.315,6,1,7.848,7.848,8.616,1,1,7.215,7.215,7.89,1,3,1.595,55.533,56.82,13,2,22.906,22.906,23.696,1,2,22.722,24.039,30.601,2,1,1.662,35.938,36.663,5,6,15.1,20.932,22.974,7,1,1.48,27.215,27.886,11,1,1.542,10.964,11.768,6,1,,,,,-3,0,-3,1,1,-3,1,8,,8,1,55,2,,5,7,3,,327172146072752,1,completed,
2025-12-11T11:28:00Z,2025-12-11T11:40:58Z,0,100,777,1,2025-12-11T11:40:58Z,R_8Qi6FATqivnd6Op,anonymous,DE,1,1,,1,2,3,2,1,3,2,4,5,5,4,3,4,6,6,3,4,5,3,3,1,3,3,2,3,3,1.076,11.549,18.384,2,8,9.975000000000001,9.975000000000001,12.776,1,50,12.347,12.347,14.834,1,20,5.005,5.005,7.264,1,1,4.718,4.718,6.8,1,8,6.289,6.289,11.189,1,Emily,10.376,10.376,15.593,1,9,7.786,7.786,12.637,1,Streichholz,2,2,2,2,2,2,2,2,1,,,,,0,26.533,26.533,30.374,1,2,65.068,65.068,66.183,1,0,13.26,13.26,14.4,1,1,11.298,11.298,12.649,1,3,21.758,23.56,24.034,2,0,216.694,221.352,223.208,2,1,6.157,6.157,7.165,1,3,2.451,11.503,31.675,3,2,16.123,16.123,17.272,1,2,26.17,26.17,28.061,1,2,8.248,8.248,9.335,1,2,1.542,6.218,7.209,2,3,1.972,1.972,3.353,1,3,1.312,1.312,2.421,1,1,,,,,-3,-3,-3,-3,-3,-3,1,10,,6,2,41,3,,4,6,2,-,327172145912944,1,completed,
2025-12-11T10:51:35Z,2025-12-11T11:45:13Z,0,100,3218,1,2025-12-11T11:45:14Z,R_2J2KjPwxFh08zjb,anonymous,DE,1,1,,1,2,3,3,2,3,3,2,4,2,2,3,4,4,4,3,4,4,4,5,5,6,6,6,6,3,1.436,1.436,13.967,1,8,2.197,2.197,22.395,1,10,1.42,1.42,10.787,1,41,1.246,1.246,7.647,1,2,4.126,4.126,12.189,1,8,1.33,1.33,10.834,1,Emily,3.557,3.557,28.654,1,27,1.538,1.538,20.641,1,Öllampe,2,2,2,2,2,2,2,2,1,,,,,2,31.702,31.702,33.497,1,2,14.464,14.464,16.69,1,1,12.028,12.028,13.39,1,1,19.249,19.249,20.619,1,4,33.851,33.851,35.185,1,0,7.434,7.434,9.172,1,1,3.409,3.409,4.408,1,3,58.665,58.665,60.428,1,2,15.844,15.844,17.478,1,1,15.675,15.675,17.393,1,1,566.586,578.882,580.081,2,2,10.689,10.689,12.695,1,1,10.901,654.529,655.764,2,1,11.578,11.578,12.841,1,1,,,,,-3,-2,-3,-2,3,-3,1,3,,11,1,33,1,,4,7,2,,327172145848407,1,completed,
2025-12-11T11:45:34Z,2025-12-11T11:49:19Z,0,100,225,1,2025-12-11T11:49:19Z,R_8AL8JEfVofzarzI,anonymous,DE,0.5,1,,1,3,5,4,3,3,3,3,3,2,5,3,2,4,4,5,4,4,4,4,5,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327172145323140,-1,attention_failed_1,
2025-12-11T11:17:43Z,2025-12-11T11:51:21Z,0,100,2018,1,2025-12-11T11:51:22Z,R_890vZYnyl86wZ2M,anonymous,DE,0.8999999761581421,1,,1,5,6,4,4,5,6,3,4,4,4,4,4,3,1,3,2,3,3,5,5,5,4,6,6,3,6.676,6.676,24.264,1,8,3.566,3.566,59.473,1,10,1.835,1.835,47.582,1,20,7.762,7.762,27.333,1,2,13.934,16.198,20.187,2,8,6.184,6.184,11.884,1,Emily,1.786,1.786,21.99,1,27,1.717,281.049,290.379,13,Streichholz,2,2,2,1,2,1,2,2,1,,,,,0,135.306,165.425,189.444,2,2,20.368,20.368,23.74,1,1,64.587,64.587,65.767,1,2,59.493,60.2,69.282,2,3,41.847,66.815,101.102,3,0,24.474,35.097,44.283,3,0,9.209,29.465,31.788,3,2,90.162,90.162,91.246,1,2,30.454,30.454,38.592,1,3,59.928,59.928,100.164,1,1,72.837,96.869,97.394,2,2,23.381,23.381,37.449,1,4,2.325,93.276,94.864,3,4,20.097,20.097,27.293,1,1,,,,,-3,-2,-3,-1,2,-3,1,3,,6,2,55,2,,4,6,2,Interessante Umfrage.,327172145050656,1,completed,
