item,item_text,response_display,incorrect,correct
hb_10_num,"Auf einer Party sind 4 männliche Professoren und 8 männliche Führungskräfte.

Von den 4 Professoren sind 3 Mitglied im „Bear’s Club“.

Von den 8 Führungskräften sind 4 Mitglied im „Bear’s Club“.

Sie wissen: David ist Mitglied im „Bear’s Club“.

Was ist wahrscheinlicher?",Beides ist gleich wahrscheinlich,157,0
hb_10_num,"Auf einer Party sind 4 männliche Professoren und 8 männliche Führungskräfte.

Von den 4 Professoren sind 3 Mitglied im „Bear’s Club“.

Von den 8 Führungskräften sind 4 Mitglied im „Bear’s Club“.

Sie wissen: David ist Mitglied im „Bear’s Club“.

Was ist wahrscheinlicher?",David ist Führungskraft,0,104
hb_10_num,"Auf einer Party sind 4 männliche Professoren und 8 männliche Führungskräfte.

Von den 4 Professoren sind 3 Mitglied im „Bear’s Club“.

Von den 8 Führungskräften sind 4 Mitglied im „Bear’s Club“.

Sie wissen: David ist Mitglied im „Bear’s Club“.

Was ist wahrscheinlicher?",David ist Professor,116,0
hb_11_num,"Vor Ihnen befinden sich zwei Tabletts mit schwarzen und weißen Murmeln: ein großes Tablett mit 100 Murmeln und ein kleines Tablett mit 10 Murmeln. Die Murmeln sind in einer einzigen Schicht auf dem Tablett verteilt.

Sie müssen, natürlich ohne hinzusehen, von einem der Tabletts ziehen. Wenn Sie eine schwarze Murmel ziehen, gewinnen Sie 5 Euro. 

Das kleine Tablett enthält 1 schwarze und 9 weiße Murmeln.
Das große Tablett enthält 8 schwarze und 92 weiße Murmeln. 

Von welchem Tablett würden Sie lieber eine Murmel ziehen?",Aus dem großen Tablett (100 Kugeln),153,0
hb_11_num,"Vor Ihnen befinden sich zwei Tabletts mit schwarzen und weißen Murmeln: ein großes Tablett mit 100 Murmeln und ein kleines Tablett mit 10 Murmeln. Die Murmeln sind in einer einzigen Schicht auf dem Tablett verteilt.

Sie müssen, natürlich ohne hinzusehen, von einem der Tabletts ziehen. Wenn Sie eine schwarze Murmel ziehen, gewinnen Sie 5 Euro. 

Das kleine Tablett enthält 1 schwarze und 9 weiße Murmeln.
Das große Tablett enthält 8 schwarze und 92 weiße Murmeln. 

Von welchem Tablett würden Sie lieber eine Murmel ziehen?",Aus dem kleinen Tablett (10 Kugeln),0,224
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",0,57,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",1,0,123
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",10,10,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",2,32,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",3,40,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",4,21,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",5,69,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",6,9,0
hb_12_num,"Beim Spielen an Spielautomaten gewinnt man etwa 1 Mal von 10 Versuchen etwas. Julie hat jedoch gerade bei ihren ersten drei Versuchen gewonnen.

Wie hoch ist Julies Chance beim nächsten Spiel zu gewinnen? Geben Sie ihre Chance auf einer Skala von 1 bis 10 an.",7,14,0
